"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2022 Mar 18 12:00:00 AM","A001371901","CARRERA 23 # 13 31   SAN JOSÉ","SAN JOSÉ","4","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Mar 24 12:00:00 AM","A001371905","CALLE 15 CARRERA  13   JUAN MELLAO","JUAN MELLAO","1","0","DAÑOS MATERIALES","NO APLICA","OTRO"
"2022 Mar 22 12:00:00 AM","A001371913","CARRERA 14 # 4 99   MALECÓN TURISTICO","MALECÓN TURISTICO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 26 12:00:00 AM","A001371915","CARRERA 23 # 14 7   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Mar 28 12:00:00 AM","A001371916","CALLE 18 CARRERA  6   POPULAR","POPULAR","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Mar 25 12:00:00 AM","A001371914","CARRERA 23 # 17 13  MANCERA","MANCERA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 30 12:00:00 AM","A001371917","KILOMETRO 26+300 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Mar 30 12:00:00 AM","A001371918","CARRERA 31 CALLE 16C    BACHUE","BACHUE","2","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 10 12:00:00 AM","C-001437245","KILOMETRO 48+350 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2022 Mar 30 12:00:00 AM","C-00143724","KILOMETRO 47+100 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 02 12:00:00 AM","A001371919","AVENIDA 23 # 27 4   DON BOSCO","DON BOSCO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 03 12:00:00 AM","A001371921","CARRERA 23 CALLE 19   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 03 12:00:00 AM","A001371920","KILOMETRO 2 ACACIAS /VEREDA CENTRO     EL CENTRO","No registra","1","0","MUERTOS","1","CHOQUE"
